trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
39,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,15,-42.96869907216918,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,10,-110.69151584245131,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,10,-39.54938319610773,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,10,-33.43438439670045,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,10,-48.833377850293324,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,11,-16.418455469410944,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,10,-4.272058357609668,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",35,10,-33.366629969196865,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,10,-0.1549082260267367,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,10,17.160117489826792,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,10,-19.129063977069848,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",30,16,2.1353754116665584,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,10,9.84700188357822,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,10,-28.90891330398648,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,10,7.144435498189316,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",30,10,-59.74129278532428,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",30,10,-2.4587671534358346,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,10,-31.286834547383478,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,10,-13.624031488404814,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",25,10,-28.876338150133,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",30,15,-75.73646392201253,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,14,-37.19672631500955,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
