trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.22, 'e': 0.9225568335398687}",20,10,-53.92727269838217,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",0
68,False,"{'a': 0.22, 'e': 0.9213516640723491}",25,10,-27.3938194067655,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",0
69,False,"{'a': 0.22, 'e': 0.9201449161228163}",25,10,-77.13233140065672,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",0
70,False,"{'a': 0.22, 'e': 0.9189365834726804}",20,10,-38.725610920926215,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 0}",0
71,False,"{'a': 0.22, 'e': 0.9177266598624125}",20,10,-61.651301974637086,"{0: 5, 1: 0, 2: 3, 3: 2, 4: 0}",0
72,False,"{'a': 0.22, 'e': 0.9165151389911669}",25,10,-1.9251940039998756,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",0
73,False,"{'a': 0.22, 'e': 0.9153020145163976}",20,10,-25.46139689944905,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",0
74,False,"{'a': 0.22, 'e': 0.9140872800534714}",20,10,-53.75647843490188,"{0: 5, 1: 2, 2: 1, 3: 2, 4: 0}",0
75,False,"{'a': 0.22, 'e': 0.9128709291752757}",30,10,-67.59235076887745,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
76,False,"{'a': 0.22, 'e': 0.9116529554118217}",20,10,-11.302226425817986,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.22, 'e': 0.910433352249843}",30,10,-125.51952949751211,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
78,False,"{'a': 0.22, 'e': 0.9092121131323891}",20,10,-130.07337880407655,"{0: 3, 1: 1, 2: 3, 3: 1, 4: 2}",0
79,False,"{'a': 0.22, 'e': 0.9079892314584145}",25,10,-10.39970237575179,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",0
80,False,"{'a': 0.22, 'e': 0.9067647005823617}",20,10,10.418821598577669,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.22, 'e': 0.9055385138137405}",30,10,-60.75136132255704,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.22, 'e': 0.9043106644167013}",25,10,-8.524304251236007,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",0
83,False,"{'a': 0.22, 'e': 0.9030811456096033}",20,10,-16.26948273265325,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.22, 'e': 0.9018499505645777}",20,10,-64.6653930315917,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.22, 'e': 0.9006170724070852}",30,10,-42.835515039114405,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
86,False,"{'a': 0.22, 'e': 0.8993825042154683}",25,10,-8.566174129532447,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.22, 'e': 0.8981462390204974}",20,10,-78.93803152422161,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 1}",0
88,False,"{'a': 0.22, 'e': 0.8969082698049128}",20,10,-53.681714626187755,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.22, 'e': 0.8956685895029589}",25,10,-53.46992282264199,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.22, 'e': 0.8944271909999146}",25,10,-33.89926460063571,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",0
91,False,"{'a': 0.22, 'e': 0.8931840671316162}",35,10,-96.04225340843526,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
92,False,"{'a': 0.22, 'e': 0.8919392106839755}",30,10,-53.287736537041546,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
93,False,"{'a': 0.22, 'e': 0.8906926143924911}",25,10,-167.19091781503164,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 3}",0
